通过最多 30 个跃点跟踪到 8.8.8.8 的路由
  1    <1 毫秒   <1 毫秒   <1 毫秒 192.168.1.1 
  2   728 ms   410 ms   580 ms  111.197.80.1 
  3     5 ms     3 ms     3 ms  123.126.25.237 
  4     5 ms     3 ms     8 ms  124.65.56.121 
  5     5 ms     7 ms     7 ms  123.126.0.89 
  6     *        *        *     请求超时。
  7    39 ms    37 ms    37 ms  219.158.11.42 
  8    38 ms    43 ms    39 ms  219.158.97.26 
  9    45 ms    43 ms    43 ms  219.158.29.54 
 10   190 ms     *      191 ms  72.14.215.130 
 11     *      187 ms   234 ms  209.85.248.60 
 12   184 ms     *        *     216.239.40.11 
 13   205 ms     *        *     209.85.250.11 
 14     *      204 ms   210 ms  209.85.243.23 
 15     *        *        *     请求超时。
 16     *      208 ms     *     8.8.8.8 
 17     *        *      201 ms  8.8.8.8 
