到 im.westore.am [52.0.126.237] 的路由:
  1    13 ms    52 ms     1 ms  192.168.4.129 
  2     1 ms    <1 毫秒   <1 毫秒 192.168.12.4 
  3   156 ms   156 ms   156 ms  10.0.0.10 
  4   239 ms   220 ms   154 ms  72.52.98.227 
  5   157 ms   168 ms   158 ms  216.218.196.169 
  6   168 ms   155 ms   167 ms  184.105.222.141 
  7   218 ms   218 ms   213 ms  72.52.92.154 
  8   202 ms   197 ms   197 ms  206.223.118.150 
  9   230 ms   224 ms   229 ms  54.240.229.92 
 10   238 ms   239 ms   236 ms  54.240.229.10 
 11   230 ms   231 ms   232 ms  54.240.229.172 
 12   232 ms   238 ms   229 ms  54.240.228.173 
 13     *        *        *     请求超时。
 14     *        *        *     请求超时。
 15   260 ms   251 ms   245 ms  54.239.111.238 
 16   231 ms   234 ms   229 ms  54.239.108.167 
 17   230 ms   247 ms   257 ms  205.251.245.123 
 18     *        *        *     请求超时。
 19     *        *        *     请求超时。
 20     *        *        *     请求超时。
 21     *        *        *     请求超时。
 22     *        *        *     请求超时。
 23     *        *        *     请求超时。
 24     *        *        *     请求超时。
 25     *        *        *     请求超时。
 26     *        *        *     请求超时。
 27     *        *        *     请求超时。
 28     *        *        *     请求超时。
 29     *        *        *     请求超时。
 30     *        *        *     请求超时。
