到 www.amazon.com [205.251.242.54] 的路由:
  1    <1 毫秒   <1 毫秒   <1 毫秒 192.168.1.1 
  2     3 ms    24 ms     6 ms  111.197.80.1 
  3     4 ms     3 ms     3 ms  61.51.241.249 
  4     5 ms     3 ms     4 ms  61.148.146.37 
  5     7 ms     6 ms     7 ms  124.65.194.9 
  6    38 ms    39 ms    40 ms  219.158.19.26 
  7   158 ms   158 ms   160 ms  219.158.23.14 
  8   150 ms   159 ms   166 ms  219.158.19.202 
  9   313 ms   308 ms   309 ms  219.158.102.106 
 10   397 ms   387 ms   401 ms  219.158.32.10 
 11     *        *        *     请求超时。
 12   487 ms   493 ms   504 ms  67.133.224.194 
 13     *        *        *     请求超时。
 14     *        *        *     请求超时。
 15   420 ms   443 ms   428 ms  205.251.245.252 
 16     *        *        *     请求超时。
 17     *        *        *     请求超时。
 18     *        *        *     请求超时。
 19     *        *        *     请求超时。
 20     *        *        *     请求超时。
 21     *        *        *     请求超时。
 22     *        *        *     请求超时。
 23     *        *        *     请求超时。
 24     *        *        *     请求超时。
 25     *        *        *     请求超时。
 26     *        *        *     请求超时。
 27     *        *        *     请求超时。
 28     *        *        *     请求超时。
 29     *        *        *     请求超时。
 30     *        *        *     请求超时。
