到 www.a.shifen.com [61.135.169.125] 的路由:
  1    <1 毫秒   <1 毫秒   <1 毫秒 192.168.1.1 
  2     4 ms     3 ms     3 ms  111.197.80.1 
  3     6 ms     3 ms     3 ms  61.51.241.249 
  4     7 ms     7 ms     7 ms  61.51.112.89 
  5     4 ms     4 ms     4 ms  61.51.113.234 
  6    54 ms     5 ms     4 ms  202.106.43.30 
  7     *        *        *     请求超时。
  8     *        *        *     请求超时。
  9     *        3 ms     *     61.135.169.125 
 10     *        *        *     请求超时。
 11     *        4 ms     3 ms  61.135.169.125 
