到 www.bn.br [200.9.175.7] 的路由:
  1    <1 毫秒    1 ms    <1 毫秒 192.168.1.1 
  2    14 ms    26 ms     5 ms  111.197.80.1 
  3     7 ms     7 ms     7 ms  61.148.163.205 
  4     3 ms     3 ms     3 ms  61.148.146.37 
  5    22 ms    23 ms    19 ms  124.65.194.1 
  6    69 ms    68 ms    72 ms  219.158.97.198 
  7    72 ms    71 ms    75 ms  219.158.98.78 
  8   167 ms   173 ms   181 ms  219.158.102.154 
  9   281 ms   283 ms   273 ms  219.158.33.190 
 10   328 ms   323 ms   323 ms  89.221.41.11 
 11   337 ms   325 ms   312 ms  195.22.199.135 
 12   334 ms   347 ms   343 ms  195.22.199.210 
 13   346 ms   353 ms   349 ms  190.103.185.9 
 14   480 ms   475 ms   487 ms  200.143.252.33 
 15   500 ms   482 ms   491 ms  200.143.253.38 
 16   494 ms   509 ms   494 ms  200.143.253.222 
 17   493 ms   502 ms   506 ms  200.143.254.137 
 18   471 ms   472 ms   454 ms  200.20.96.4 
 19   465 ms   463 ms   467 ms  200.20.96.20 
 20   456 ms   473 ms   466 ms  200.20.98.106 
 21     *        *        *     请求超时。
 22     *        *        *     请求超时。
 23     *        *        *     请求超时。
 24     *        *        *     请求超时。
 25     *        *        *     请求超时。
 26     *        *        *     请求超时。
 27     *        *        *     请求超时。
 28     *        *        *     请求超时。
 29     *        *        *     请求超时。
 30     *        *        *     请求超时。
