╣╫ www.google.com [216.58.221.100] ╣дб╥си:
  1     3 ms    <1 ╨ацК   <1 ╨ацК 192.168.4.129 
  2    <1 ╨ацК   <1 ╨ацК   <1 ╨ацК 192.168.50.1 
  3    <1 ╨ацК    1 ms     2 ms  192.168.11.66 
  4     2 ms     1 ms     1 ms  192.168.51.1 
  5    36 ms    48 ms    50 ms  10.117.134.185 
  6    78 ms   100 ms   106 ms  10.117.135.145 
  7   112 ms   114 ms   109 ms  192.168.170.6 
  8   135 ms     *       68 ms  152.101.193.77 
  9    96 ms    99 ms    98 ms  202.76.18.72 
 10   102 ms   104 ms   103 ms  202.76.18.64 
 11   105 ms   100 ms    96 ms  123.255.91.10 
 12    67 ms    62 ms    48 ms  66.249.95.80 
 13    69 ms    73 ms    50 ms  74.125.37.125 
 14    85 ms    63 ms    81 ms  216.58.221.100 
