到 a1128.q.akamai.net [184.50.87.83] 的路由:
  1    <1 毫秒   <1 毫秒   <1 毫秒 192.168.1.1 
  2   166 ms     3 ms     3 ms  111.197.80.1 
  3     4 ms     3 ms     3 ms  61.51.241.249 
  4     8 ms     7 ms     7 ms  124.65.57.41 
  5     8 ms     7 ms     7 ms  124.65.194.53 
  6    39 ms    39 ms    39 ms  219.158.19.38 
  7   101 ms     *       84 ms  219.158.11.166 
  8   101 ms   102 ms    98 ms  219.158.97.30 
  9   107 ms   107 ms   107 ms  219.158.104.106 
 10   160 ms   164 ms   168 ms  219.158.34.190 
 11   153 ms   161 ms   166 ms  184.50.87.83 
